,Company name,City,Region,Date of incorporation,Release date,"Fixed assets
th EUR
2019","Fixed assets
th EUR
2018","Fixed assets
th EUR
2017","Fixed assets
th EUR
2016","Fixed assets
th EUR
2015","Fixed assets
th EUR
2014","Fixed assets
th EUR
2013","Fixed assets
th EUR
2012","Fixed assets
th EUR
2011","Fixed assets
th EUR
2010","Number of employees
2019","Number of employees
2018","Number of employees
2017","Number of employees
2016","Number of employees
2015","Number of employees
2014","Number of employees
2013","Number of employees
2012","Number of employees
2011","Number of employees
2010","Costs of employees
th EUR
2019","Costs of employees
th EUR
2018","Costs of employees
th EUR
2017","Costs of employees
th EUR
2016","Costs of employees
th EUR
2015","Costs of employees
th EUR
2014","Costs of employees
th EUR
2013","Costs of employees
th EUR
2012","Costs of employees
th EUR
2011","Costs of employees
th EUR
2010","Material costs
th EUR
2019","Material costs
th EUR
2018","Material costs
th EUR
2017","Material costs
th EUR
2016","Material costs
th EUR
2015","Material costs
th EUR
2014","Material costs
th EUR
2013","Material costs
th EUR
2012","Material costs
th EUR
2011","Material costs
th EUR
2010","Sales
th EUR
2019","Sales
th EUR
2018","Sales
th EUR
2017","Sales
th EUR
2016","Sales
th EUR
2015","Sales
th EUR
2014","Sales
th EUR
2013","Sales
th EUR
2012","Sales
th EUR
2011","Sales
th EUR
2010"
1663.,BECKER PFLEGEPRODUKTE GMBH,LEOPOLDSHôHE,Lippe,09/09/2014,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1664.,BECKER-CHEMIE GMBH REINIGUNGS- UND PFLEGEMITTEL,LEOPOLDSHôHE,Lippe,11/12/1984,04/2020,n.a.,14502,9856,10193,10736,10397,10203,10654,10775,8028,n.a.,98,99,93,89,96,87,73,69,67,n.a.,4869,4811,4477,4335,4173,3830,3867,3263,2991,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1665.,BEDEKO EUROPE GMBH,,Berlin,06/05/2014,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,10,10,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1666.,BEDO PRODUCTION & SERVICES UG (HAFTUNGSBESCHRéNKT),OBERDING,Erding,16/12/2015,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1667.,BEDOS CHEMIE GMBH,BISCHHEIM,Donnersbergkreis,06/11/2001,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,3,3,6,7,7,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1668.,BEDOS TECHNIK OHG,BISCHHEIM,Donnersbergkreis,15/08/1990,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8,9,9,9,9,9,9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1669.,BEE BIOENERGIEERZEUGUNG KOBLENZ GMBH,KOBLENZ,Koblenz,22/04/2008,04/2020,n.a.,7200,8424,5403,5667,5898,17181,17308,6490,874,n.a.,2,2,2,2,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,20,20,20,20,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,801,303,198,209,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1411,n.a.,n.a.,n.a.
1670.,"BEETHOVEN-PHARMA, DR. WIEMANN GMBH",NöRNBERG,NÅrnberg,15/04/1993,04/2020,n.a.,2,n.a.,n.a.,155,2,3,2,3,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1671.,BEFELKA GMBH,FRANKFURT,Frankfurt am Main,20/12/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1672.,BEGO IMPLANT SYSTEMS GMBH & CO. KG,BREMEN,Bremen,09/03/1992,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25,25,25,25,25,25,25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1673.,BEIERSDORF MANUFACTURING BERLIN GMBH,BERLIN,Berlin,05/04/1956,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,250,250,250,220,220,252,252,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1674.,BEIERSDORF MANUFACTURING HAMBURG GMBH,HAMBURG,"Hamburg, Freie und Hansestadt",16/05/2007,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,650,650,n.a.,n.a.,n.a.,n.a.,1,1,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1675.,BEIGENE GERMANY GMBH,MöNCHEN,"MÅnchen, Landeshauptstadt",15/04/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1676.,BEISEL PYROTECHNIK GMBH,WIESLOCH,Rhein-Neckar,1913,04/2020,n.a.,160,156,159,168,199,227,226,203,n.a.,n.a.,19,19,19,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1585,n.a.,n.a.,n.a.,n.a.,750,750,n.a.
1677.,BELA HEALTH GMBH,LANDSHUT,Landshut,03/07/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1678.,BELA-PHARM GMBH & CO. KOMMANDITGESELLSCHAFT,VECHTA,Vechta,01/01/1970,04/2020,n.a.,n.a.,4950,5400,5708,4259,3908,3886,3228,3631,n.a.,n.a.,154,155,156,147,136,138,132,130,n.a.,n.a.,6076,5803,5730,5607,5203,5120,4704,4528,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1679.,BELCHEM GMBH,KESSELSDORF,SÑchsische Schweiz,17/06/1997,04/2020,n.a.,5098,3433,3557,2790,1566,1594,1732,1862,1937,n.a.,29,25,25,n.a.,n.a.,n.a.,n.a.,n.a.,16,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1680.,BELL CHEM GMBH,,Aichach-Friedberg,08/06/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1681.,BELLICUM PHARMA GMBH C/O HOGAN LOVELLS INTERNATIONAL LLP,MöNCHEN,"MÅnchen, Landeshauptstadt",25/06/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1682.,BELLMIRA COSMETIC GESELLSCHAFT MIT BESCHRéNKTER HAFTUNG,WERTHEIM,Main-Tauber,01/1964,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,160,160,160,160,164,170,161,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1683.,BELMAR UG (HAFTUNGSBESCHRéNKT),ALTDORF,"Landshut, Landkreis",26/09/2016,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1684.,BELTRON GMBH FACHHANDEL FöR GESUNDHEITSPRODUKTE,VOLKERTSHAUSEN,Konstanz,16/12/1991,04/2020,n.a.,n.a.,25,24,n.a.,0,0,0,0,0,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1685.,BELUBE GMBH,HATTERSHEIM,Main-Taunus,29/07/2011,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1686.,BELVIANO NATURPRODUKTE UG (HAFTUNGSBESCHRéNKT),PULLACH,"MÅnchen, Landkreis",23/07/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1687.,BELVITA GMBH,BADEN-BADEN,Baden-Baden,20/01/2005,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1688.,BELYNTIC GMBH,BERLIN,Berlin,06/03/2018,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1689.,BEMA PHARMA GMBH,BERLIN,Berlin,08/04/2014,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5,5,8,8,8,3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1690.,BEMOTION 360 GMBH,KIEL,Kiel,29/10/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1691.,BENC LICHTTECHNIK GMBH,WALDKRAIBURG,MÅhldorf,25/04/2008,04/2020,n.a.,10,1,n.a.,7,67,73,0,0,n.a.,n.a.,6,5,n.a.,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,304,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,360,34,n.a.
1692.,BENDALIS GMBH,OBERHACHING,"MÅnchen, Landkreis",26/01/2006,04/2020,n.a.,397,363,381,438,548,682,1794,1238,546,n.a.,5,5,3,14,14,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,9000,9100,9100,9000,9000,n.a.,n.a.,n.a.
1693.,BENE PHARMACHEM GMBH & CO. KG,GERETSRIED,Bad Tîlz-Wolfratshausen,11/08/2003,04/2020,n.a.,1290,1374,1468,1613,1878,1887,1820,631,381,n.a.,24,26,28,27,30,30,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2259,2209,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1694.,BENE-FIT SYSTEMS GMBH & CO. KG,HIRSCHAU,Amberg-Sulzbach,03/05/2007,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1695.,BENNO SEIBEL GESELLSCHAFT MIT BESCHRéNKTER HAFTUNG KUNSTSTOFFERZEUGNISSE,DAHN,SÅdwestpfalz,23/12/1977,04/2020,n.a.,n.a.,251,331,412,154,68,70,34,46,n.a.,n.a.,14,17,20,25,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1696.,BENSE & EICKE GMBH & CO. KG,EINBECK,Northeim,1887,04/2020,n.a.,396,399,397,456,363,349,n.a.,n.a.,n.a.,n.a.,16,19,18,18,17,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1697.,BENT TREE INDUSTRIES EUROPE GMBH,OBERSCHEINFELD,Neustadt a.d. Aisch-Bad Windsheim,02/12/2014,04/2020,n.a.,185,153,8,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1698.,BENVIC EUROPE GER GMBH,MöNCHEN,"MÅnchen, Landeshauptstadt",10/08/2006,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1699.,BERAGENA ARZNEIMITTEL GMBH,BADEN-BADEN,Baden-Baden,26/07/1984,04/2020,n.a.,522,476,554,518,379,522,471,530,467,n.a.,66,71,72,75,71,66,69,73,73,n.a.,3490,3346,3334,3231,2956,2609,2692,2693,2873,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1700.,BERG GMBH,HEIDELBERG,Heidelberg,25/10/1982,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,1,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1701.,BERGHOF MEMBRANE TECHNOLOGY GMBH,ENINGEN,Reutlingen,09/03/1987,04/2020,n.a.,n.a.,1139,755,709,649,596,543,485,512,n.a.,n.a.,34,n.a.,n.a.,9,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2000,n.a.,2000,2000
1702.,BERGLAND-PHARMA GMBH & CO. KG,HEIMERTINGEN,Neu-Ulm,1981,04/2020,n.a.,3101,3041,2818,2442,2458,2609,2441,2416,2444,n.a.,67,65,60,57,63,63,61,60,55,n.a.,n.a.,n.a.,n.a.,2276,2479,2157,2176,2037,2017,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1703.,BERGNER KUNSTSTOFFPROFILE GMBH,BAD NAUHEIM,Wetteraukreis,1948,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,4,4,4,5,5,5,5,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1704.,BERGOLIN GMBH & CO. KG,OSTERHOLZ-SCHARMBECK,Osterholz,01/01/1987,04/2020,n.a.,n.a.,14427,15054,15920,18329,19196,17888,15602,10213,n.a.,n.a.,117,117,114,116,118,113,111,106,n.a.,n.a.,6810,6837,6828,7233,7216,6538,6230,6579,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1705.,BERKEL AHK ALKOHOLHANDEL GMBH & CO.KG,LUDWIGSHAFEN,Ludwigshafen am Rhein,01/05/2003,04/2020,n.a.,1484,1128,520,346,395,407,275,200,215,n.a.,29,28,29,30,29,26,25,24,n.a.,n.a.,1027,1295,1254,1231,1197,1116,1031,928,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,20926,19191,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,26197,23924,n.a.,n.a.
1706.,BERKEL PFéLZISCHE SPRITFABRIK GMBH & CO.KG,LUDWIGSHAFEN,Ludwigshafen am Rhein,01/05/2003,04/2020,n.a.,1416,1504,1594,1526,1458,1553,572,590,513,n.a.,8,7,7,7,7,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,377,332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1005,1022,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2317,2041,n.a.,n.a.,n.a.
1707.,BERLIN DE VOUS PARFUMS GMBH,BERLIN,Berlin,22/05/2019,04/2020,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
1708.,BERLUX PERFUMES GMBH,BERLIN,Berlin,2005,04/2020,n.a.,n.a.,0,n.a.,n.a.,n.a.,0,0,0,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,2,2,2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15
1709.,BERND KRAFT GMBH,DUISBURG,Duisburg,28/06/1991,04/2020,n.a.,6748,6711,6095,4973,2549,2530,2613,2780,2588,n.a.,130,115,106,99,85,79,72,n.a.,n.a.,n.a.,6691,6301,5928,5446,4492,4310,3974,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
